Timestep;Time span;Sum [var]
199;03:19:00;190,44385399956747
200;03:20:00;190,36968316931012
201;03:21:00;189,82427076674605
202;03:22:00;189,29716807974816
203;03:23:00;188,9530817447634
204;03:24:00;187,6025606146387
205;03:25:00;185,24109410541845
206;03:26:00;184,65465928061235
207;03:27:00;183,4076725814507
208;03:28:00;182,34830460991603
209;03:29:00;182,16278823817905
210;03:30:00;181,9346332327132
211;03:31:00;181,320085176494
212;03:32:00;180,7933084477681
213;03:33:00;180,66261871479645
214;03:34:00;180,2232814860402
215;03:35:00;179,9331762958103
216;03:36:00;178,15084525487754
217;03:37:00;177,2065972243711
218;03:38:00;176,5543412972715
219;03:39:00;176,47043363292948
220;03:40:00;176,37710035817219
221;03:41:00;176,1818024333034
222;03:42:00;175,74723134958793
223;03:43:00;175,73016368745076
224;03:44:00;175,72909952592988
225;03:45:00;175,26011181638526
226;03:46:00;175,14626770009545
227;03:47:00;174,92743563386796
228;03:48:00;174,1369396389987
229;03:49:00;174,11673452046304
230;03:50:00;174,10659761147636
231;03:51:00;173,96483559266852
232;03:52:00;173,43715631791645
233;03:53:00;173,4198265958839
234;03:54:00;173,2647075772356
235;03:55:00;172,9835958266195
236;03:56:00;172,65465306797535
237;03:57:00;172,42992875984348
238;03:58:00;172,01661615717438
239;03:59:00;171,95894454583055
240;04:00:00;171,82120244672944
241;04:01:00;171,5314519743179
242;04:02:00;171,39772241644278
243;04:03:00;171,30939976218392
244;04:04:00;171,2670984620683
245;04:05:00;170,55659066476338
246;04:06:00;170,24183970702111
247;04:07:00;170,1809710908909
248;04:08:00;170,18085161162722
249;04:09:00;169,9736351812674
250;04:10:00;169,41582316743865
251;04:11:00;169,34254183335818
252;04:12:00;169,26369012081682
253;04:13:00;169,23438202290092
254;04:14:00;169,03014827287834
255;04:15:00;168,92977682048127
256;04:16:00;168,92185167169885
257;04:17:00;168,90323054997836
258;04:18:00;168,83686309714827
259;04:19:00;168,44258671205088
260;04:20:00;168,43068379805464
261;04:21:00;168,4262333083883
262;04:22:00;168,2556911651977
263;04:23:00;168,24996686292533
264;04:24:00;168,20869960314323
